n,array_type,algorithm,threshold,time_us
500,random,merge,0,21
500,random,hybrid,5,16
500,random,hybrid,10,14
500,random,hybrid,20,11
500,random,hybrid,30,11
500,random,hybrid,50,9
500,reversed,merge,0,23
500,reversed,hybrid,5,18
500,reversed,hybrid,10,16
500,reversed,hybrid,20,16
500,reversed,hybrid,30,16
500,reversed,hybrid,50,22
500,almost,merge,0,26
500,almost,hybrid,5,21
500,almost,hybrid,10,19
500,almost,hybrid,20,15
500,almost,hybrid,30,14
500,almost,hybrid,50,13
1500,random,merge,0,97
1500,random,hybrid,5,61
1500,random,hybrid,10,54
1500,random,hybrid,20,48
1500,random,hybrid,30,41
1500,random,hybrid,50,35
1500,reversed,merge,0,84
1500,reversed,hybrid,5,67
1500,reversed,hybrid,10,61
1500,reversed,hybrid,20,58
1500,reversed,hybrid,30,66
1500,reversed,hybrid,50,98
1500,almost,merge,0,87
1500,almost,hybrid,5,76
1500,almost,hybrid,10,73
1500,almost,hybrid,20,60
1500,almost,hybrid,30,53
1500,almost,hybrid,50,71
2500,random,merge,0,131
2500,random,hybrid,5,100
2500,random,hybrid,10,90
2500,random,hybrid,20,75
2500,random,hybrid,30,76
2500,random,hybrid,50,66
2500,reversed,merge,0,155
2500,reversed,hybrid,5,115
2500,reversed,hybrid,10,105
2500,reversed,hybrid,20,111
2500,reversed,hybrid,30,116
2500,reversed,hybrid,50,159
2500,almost,merge,0,157
2500,almost,hybrid,5,139
2500,almost,hybrid,10,115
2500,almost,hybrid,20,102
2500,almost,hybrid,30,104
2500,almost,hybrid,50,96
3500,random,merge,0,204
3500,random,hybrid,5,159
3500,random,hybrid,10,141
3500,random,hybrid,20,121
3500,random,hybrid,30,103
3500,random,hybrid,50,102
3500,reversed,merge,0,206
3500,reversed,hybrid,5,173
3500,reversed,hybrid,10,155
3500,reversed,hybrid,20,158
3500,reversed,hybrid,30,185
3500,reversed,hybrid,50,184
3500,almost,merge,0,243
3500,almost,hybrid,5,194
3500,almost,hybrid,10,178
3500,almost,hybrid,20,162
3500,almost,hybrid,30,146
3500,almost,hybrid,50,144
4500,random,merge,0,264
4500,random,hybrid,5,200
4500,random,hybrid,10,188
4500,random,hybrid,20,151
4500,random,hybrid,30,154
4500,random,hybrid,50,131
4500,reversed,merge,0,271
4500,reversed,hybrid,5,221
4500,reversed,hybrid,10,208
4500,reversed,hybrid,20,215
4500,reversed,hybrid,30,213
4500,reversed,hybrid,50,283
4500,almost,merge,0,306
4500,almost,hybrid,5,272
4500,almost,hybrid,10,231
4500,almost,hybrid,20,206
4500,almost,hybrid,30,204
4500,almost,hybrid,50,194
5500,random,merge,0,316
5500,random,hybrid,5,267
5500,random,hybrid,10,232
5500,random,hybrid,20,215
5500,random,hybrid,30,184
5500,random,hybrid,50,158
5500,reversed,merge,0,343
5500,reversed,hybrid,5,284
5500,reversed,hybrid,10,273
5500,reversed,hybrid,20,257
5500,reversed,hybrid,30,280
5500,reversed,hybrid,50,384
5500,almost,merge,0,398
5500,almost,hybrid,5,321
5500,almost,hybrid,10,339
5500,almost,hybrid,20,309
5500,almost,hybrid,30,258
5500,almost,hybrid,50,242
6500,random,merge,0,381
6500,random,hybrid,5,317
6500,random,hybrid,10,288
6500,random,hybrid,20,267
6500,random,hybrid,30,233
6500,random,hybrid,50,225
6500,reversed,merge,0,422
6500,reversed,hybrid,5,363
6500,reversed,hybrid,10,339
6500,reversed,hybrid,20,331
6500,reversed,hybrid,30,391
6500,reversed,hybrid,50,398
6500,almost,merge,0,485
6500,almost,hybrid,5,405
6500,almost,hybrid,10,400
6500,almost,hybrid,20,335
6500,almost,hybrid,30,307
6500,almost,hybrid,50,305
7500,random,merge,0,460
7500,random,hybrid,5,365
7500,random,hybrid,10,326
7500,random,hybrid,20,308
7500,random,hybrid,30,250
7500,random,hybrid,50,249
7500,reversed,merge,0,543
7500,reversed,hybrid,5,443
7500,reversed,hybrid,10,376
7500,reversed,hybrid,20,406
7500,reversed,hybrid,30,450
7500,reversed,hybrid,50,444
7500,almost,merge,0,556
7500,almost,hybrid,5,623
7500,almost,hybrid,10,427
7500,almost,hybrid,20,390
7500,almost,hybrid,30,352
7500,almost,hybrid,50,354
8500,random,merge,0,505
8500,random,hybrid,5,424
8500,random,hybrid,10,387
8500,random,hybrid,20,326
8500,random,hybrid,30,341
8500,random,hybrid,50,281
8500,reversed,merge,0,530
8500,reversed,hybrid,5,470
8500,reversed,hybrid,10,447
8500,reversed,hybrid,20,446
8500,reversed,hybrid,30,425
8500,reversed,hybrid,50,574
8500,almost,merge,0,640
8500,almost,hybrid,5,517
8500,almost,hybrid,10,493
8500,almost,hybrid,20,465
8500,almost,hybrid,30,460
8500,almost,hybrid,50,417
9500,random,merge,0,582
9500,random,hybrid,5,469
9500,random,hybrid,10,429
9500,random,hybrid,20,370
9500,random,hybrid,30,377
9500,random,hybrid,50,320
9500,reversed,merge,0,646
9500,reversed,hybrid,5,524
9500,reversed,hybrid,10,481
9500,reversed,hybrid,20,497
9500,reversed,hybrid,30,497
9500,reversed,hybrid,50,652
9500,almost,merge,0,733
9500,almost,hybrid,5,592
9500,almost,hybrid,10,544
9500,almost,hybrid,20,486
9500,almost,hybrid,30,515
9500,almost,hybrid,50,463
10500,random,merge,0,676
10500,random,hybrid,5,519
10500,random,hybrid,10,469
10500,random,hybrid,20,431
10500,random,hybrid,30,407
10500,random,hybrid,50,344
10500,reversed,merge,0,679
10500,reversed,hybrid,5,563
10500,reversed,hybrid,10,521
10500,reversed,hybrid,20,582
10500,reversed,hybrid,30,566
10500,reversed,hybrid,50,765
