n,array_type,algorithm,time_us
500,random,quick,39
500,random,intro,26
500,reversed,quick,20
500,reversed,intro,9
500,almost,quick,22
500,almost,intro,12
1500,random,quick,127
1500,random,intro,97
1500,reversed,quick,63
1500,reversed,intro,30
1500,almost,quick,75
1500,almost,intro,45
2500,random,quick,240
2500,random,intro,163
2500,reversed,quick,124
2500,reversed,intro,59
2500,almost,quick,138
2500,almost,intro,86
3500,random,quick,330
3500,random,intro,234
3500,reversed,quick,162
3500,reversed,intro,78
3500,almost,quick,188
3500,almost,intro,129
4500,random,quick,424
4500,random,intro,314
4500,reversed,quick,197
4500,reversed,intro,105
4500,almost,quick,252
4500,almost,intro,178
5500,random,quick,554
5500,random,intro,431
5500,reversed,quick,287
5500,reversed,intro,170
5500,almost,quick,328
5500,almost,intro,229
6500,random,quick,678
6500,random,intro,509
6500,reversed,quick,300
6500,reversed,intro,155
6500,almost,quick,375
6500,almost,intro,240
7500,random,quick,708
7500,random,intro,535
7500,reversed,quick,363
7500,reversed,intro,178
7500,almost,quick,484
7500,almost,intro,314
8500,random,quick,930
8500,random,intro,668
8500,reversed,quick,389
8500,reversed,intro,240
8500,almost,quick,581
8500,almost,intro,385
9500,random,quick,1050
9500,random,intro,784
9500,reversed,quick,589
9500,reversed,intro,318
9500,almost,quick,684
9500,almost,intro,538
10500,random,quick,1137
10500,random,intro,817
10500,reversed,quick,480
10500,reversed,intro,278
10500,almost,quick,611
10500,almost,intro,412
11500,random,quick,1113
11500,random,intro,934
11500,reversed,quick,526
11500,reversed,intro,328
11500,almost,quick,692
11500,almost,intro,505
12500,random,quick,1211
12500,random,intro,962
12500,reversed,quick,566
12500,reversed,intro,437
12500,almost,quick,853
12500,almost,intro,496
13500,random,quick,1321
13500,random,intro,1117
13500,reversed,quick,618
13500,reversed,intro,335
13500,almost,quick,833
13500,almost,intro,787
14500,random,quick,1404
14500,random,intro,1201
14500,reversed,quick,695
14500,reversed,intro,385
14500,almost,quick,903
14500,almost,intro,613
15500,random,quick,1516
15500,random,intro,1189
15500,reversed,quick,698
15500,reversed,intro,397
15500,almost,quick,928
15500,almost,intro,613
16500,random,quick,1667
16500,random,intro,1414
16500,reversed,quick,841
16500,reversed,intro,424
16500,almost,quick,1053
16500,almost,intro,713
17500,random,quick,1776
17500,random,intro,1390
17500,reversed,quick,886
17500,reversed,intro,689
17500,almost,quick,1323
17500,almost,intro,992
18500,random,quick,1856
18500,random,intro,1480
18500,reversed,quick,836
18500,reversed,intro,486
18500,almost,quick,1184
18500,almost,intro,822
19500,random,quick,1910
19500,random,intro,1521
19500,reversed,quick,940
19500,reversed,intro,496
19500,almost,quick,1681
19500,almost,intro,1175
20500,random,quick,2063
20500,random,intro,1671
20500,reversed,quick,954
20500,reversed,intro,528
20500,almost,quick,1283
20500,almost,intro,851
21500,random,quick,2092
21500,random,intro,1718
21500,reversed,quick,1051
21500,reversed,intro,597
21500,almost,quick,1344
21500,almost,intro,924
22500,random,quick,2830
22500,random,intro,2236
22500,reversed,quick,1715
22500,reversed,intro,1095
22500,almost,quick,1425
22500,almost,intro,1283
23500,random,quick,3014
23500,random,intro,2039
23500,reversed,quick,1089
23500,reversed,intro,604
23500,almost,quick,1472
23500,almost,intro,1027
24500,random,quick,2402
24500,random,intro,1988
24500,reversed,quick,1170
24500,reversed,intro,625
24500,almost,quick,1554
24500,almost,intro,1057
25500,random,quick,2554
25500,random,intro,2075
25500,reversed,quick,1180
25500,reversed,intro,726
25500,almost,quick,1727
25500,almost,intro,1145
26500,random,quick,2749
26500,random,intro,2216
26500,reversed,quick,1260
26500,reversed,intro,696
26500,almost,quick,1751
26500,almost,intro,1136
27500,random,quick,3056
27500,random,intro,2288
27500,reversed,quick,1287
27500,reversed,intro,758
27500,almost,quick,1818
27500,almost,intro,1273
28500,random,quick,2808
28500,random,intro,2311
28500,reversed,quick,1563
28500,reversed,intro,753
28500,almost,quick,1840
28500,almost,intro,1209
29500,random,quick,2962
29500,random,intro,2503
29500,reversed,quick,1421
29500,reversed,intro,1186
29500,almost,quick,2345
29500,almost,intro,1286
30500,random,quick,3148
30500,random,intro,2509
30500,reversed,quick,1427
30500,reversed,intro,849
30500,almost,quick,1965
30500,almost,intro,1386
31500,random,quick,3137
31500,random,intro,2733
31500,reversed,quick,1472
31500,reversed,intro,832
31500,almost,quick,2033
31500,almost,intro,1382
32500,random,quick,3257
32500,random,intro,2671
32500,reversed,quick,1585
32500,reversed,intro,869
32500,almost,quick,2060
32500,almost,intro,1954
33500,random,quick,3407
33500,random,intro,2725
33500,reversed,quick,1536
33500,reversed,intro,885
33500,almost,quick,2124
33500,almost,intro,1495
34500,random,quick,3921
34500,random,intro,2853
34500,reversed,quick,1645
34500,reversed,intro,943
34500,almost,quick,2201
34500,almost,intro,1576
35500,random,quick,3448
35500,random,intro,2875
35500,reversed,quick,1686
35500,reversed,intro,942
35500,almost,quick,2244
35500,almost,intro,1639
36500,random,quick,3602
36500,random,intro,3013
36500,reversed,quick,1750
36500,reversed,intro,952
36500,almost,quick,2467
36500,almost,intro,1894
37500,random,quick,3667
37500,random,intro,2998
37500,reversed,quick,1734
37500,reversed,intro,996
37500,almost,quick,2400
37500,almost,intro,1659
38500,random,quick,3729
38500,random,intro,3109
38500,reversed,quick,1865
38500,reversed,intro,1015
38500,almost,quick,2460
38500,almost,intro,1748
39500,random,quick,3993
39500,random,intro,3237
39500,reversed,quick,1862
39500,reversed,intro,1051
39500,almost,quick,2533
39500,almost,intro,1738
40500,random,quick,3970
40500,random,intro,3315
40500,reversed,quick,1978
40500,reversed,intro,1094
40500,almost,quick,2598
40500,almost,intro,1818
41500,random,quick,4102
41500,random,intro,3401
41500,reversed,quick,1938
41500,reversed,intro,1157
41500,almost,quick,2733
41500,almost,intro,1859
42500,random,quick,4204
42500,random,intro,3456
42500,reversed,quick,2022
42500,reversed,intro,1141
42500,almost,quick,2824
42500,almost,intro,1907
43500,random,quick,4264
43500,random,intro,3535
43500,reversed,quick,2089
43500,reversed,intro,1211
43500,almost,quick,2840
43500,almost,intro,2017
44500,random,quick,4357
44500,random,intro,3612
44500,reversed,quick,2120
44500,reversed,intro,1222
44500,almost,quick,2868
44500,almost,intro,1988
45500,random,quick,4423
45500,random,intro,3709
45500,reversed,quick,2089
45500,reversed,intro,1310
45500,almost,quick,2936
45500,almost,intro,2005
46500,random,quick,4641
46500,random,intro,3831
46500,reversed,quick,2428
46500,reversed,intro,1406
46500,almost,quick,3075
46500,almost,intro,2137
47500,random,quick,4645
47500,random,intro,3980
47500,reversed,quick,2247
47500,reversed,intro,1393
47500,almost,quick,3239
47500,almost,intro,2302
48500,random,quick,5005
48500,random,intro,4420
48500,reversed,quick,3625
48500,reversed,intro,1332
48500,almost,quick,3136
48500,almost,intro,2166
49500,random,quick,4887
49500,random,intro,4116
49500,reversed,quick,2361
49500,reversed,intro,1403
49500,almost,quick,3269
49500,almost,intro,2243
50500,random,quick,5349
50500,random,intro,4409
50500,reversed,quick,2426
50500,reversed,intro,1395
50500,almost,quick,3447
50500,almost,intro,2370
51500,random,quick,5279
51500,random,intro,4333
51500,reversed,quick,2493
51500,reversed,intro,1428
51500,almost,quick,3385
51500,almost,intro,2366
52500,random,quick,5171
52500,random,intro,4410
52500,reversed,quick,2515
52500,reversed,intro,1430
52500,almost,quick,3501
52500,almost,intro,2413
53500,random,quick,5345
53500,random,intro,4376
53500,reversed,quick,2658
53500,reversed,intro,1523
53500,almost,quick,3494
53500,almost,intro,2450
54500,random,quick,5388
54500,random,intro,4710
54500,reversed,quick,2630
54500,reversed,intro,1501
54500,almost,quick,3550
54500,almost,intro,2673
55500,random,quick,6198
55500,random,intro,5676
55500,reversed,quick,2680
55500,reversed,intro,1632
55500,almost,quick,3652
55500,almost,intro,2679
56500,random,quick,5698
56500,random,intro,4736
56500,reversed,quick,2775
56500,reversed,intro,1600
56500,almost,quick,3762
56500,almost,intro,2628
57500,random,quick,5767
